Código IBGE do Município;Nome das Grandes Regiões;Nome da Microregião;incompleto - Amarela;Incompleto - Branca; incompleto - Indígena;incompleto - Parda;Incompleto - Preta;Superior completo - Amarela;Superior completo - Branca;Superior completo - Indígena;Superior completo - Parda;Superior completo - Preta
170382;Norte;Bico do Papagaio;7;52;0;190;13;2;15;0;40;4
170384;Norte;JalapÒo;0;84;0;651;46;0;55;0;121;23
170386;Norte;Gurupi;0;76;0;350;21;0;16;0;76;5
170388;Norte;AraguaÝna;12;67;0;194;22;10;33;0;52;9
170389;Norte;Bico do Papagaio;0;48;0;258;56;0;17;0;42;19
170390;Norte;Miracema do Tocantins;3;85;0;472;33;0;55;0;119;6
170410;Norte;JalapÒo;3;36;0;224;10;0;19;0;50;6
170460;Norte;Rio Formoso;7;50;0;119;18;3;10;0;13;0
170510;Norte;Dian¾polis;0;50;0;299;49;0;14;0;40;8
170550;Norte;AraguaÝna;165;1267;0;2748;288;63;738;0;1072;94
170555;Norte;Dian¾polis;5;222;0;431;35;0;87;0;111;16
170560;Norte;Dian¾polis;2;59;0;261;95;6;25;0;65;17
170600;Norte;Miracema do Tocantins;20;167;3;310;84;3;34;0;71;19
170610;Norte;Rio Formoso;13;191;2;641;49;8;133;3;209;14
170625;Norte;Gurupi;3;45;0;125;13;0;26;0;47;2
170650;Norte;Bico do Papagaio;23;138;0;461;42;9;32;0;73;5
170700;Norte;Dian¾polis;15;459;0;1603;251;29;457;0;632;168
170710;Norte;Miracema do Tocantins;12;233;0;535;56;3;114;0;193;5
170720;Norte;Miracema do Tocantins;17;241;0;606;21;6;34;0;93;6
170730;Norte;Rio Formoso;10;114;0;446;16;0;72;0;87;0
170740;Norte;Bico do Papagaio;0;103;0;762;117;5;20;0;140;42
170755;Norte;Rio Formoso;19;82;0;317;22;11;52;0;105;3
170765;Norte;Gurupi;0;156;4;369;78;3;121;0;146;13
170770;Norte;AraguaÝna;5;227;4;558;48;0;90;0;164;3
170820;Norte;Rio Formoso;70;601;116;1578;190;30;278;0;447;72
170825;Norte;Miracema do Tocantins;2;63;0;208;10;0;27;0;60;6
170830;Norte;Miracema do Tocantins;5;146;0;363;19;3;44;0;102;11
170900;Norte;JalapÒo;21;223;70;829;80;15;137;0;166;18
170930;Norte;Miracema do Tocantins;116;693;0;2442;209;69;688;9;964;92
170950;Norte;Gurupi;127;3191;80;7719;994;8;3020;9;2897;429
170980;Norte;Porto Nacional;0;30;0;188;8;0;5;0;15;7
171050;Norte;JalapÒo;23;145;4;490;49;3;88;3;190;12
171070;Norte;Bico do Papagaio;0;81;0;543;49;0;47;0;91;14
171090;Norte;JalapÒo;7;77;0;235;19;3;19;0;60;0
171110;Norte;Miracema do Tocantins;4;92;0;129;7;0;21;0;49;3
171150;Norte;Gurupi;2;120;0;252;28;7;53;0;57;7
171180;Norte;Miracema do Tocantins;5;69;0;228;10;3;21;0;40;4
171190;Norte;Rio Formoso;0;265;128;810;95;4;147;0;156;13
